,country,predict,suicides_no,err,err_abs
0,Antigua and Barbuda,0.0,1.0,-1.0,1.0
1,Argentina,3231.0,3073.0,158.0,158.0
2,Armenia,53.0,74.0,-21.0,21.0
3,Australia,2891.0,3027.0,-136.0,136.0
4,Austria,1314.0,1251.0,63.0,63.0
5,Belgium,1857.0,1867.0,-10.0,10.0
6,Belize,8.0,26.0,-18.0,18.0
7,Brazil,10631.0,11163.0,-532.0,532.0
8,Chile,1789.0,1838.0,-49.0,49.0
9,Colombia,2117.3333333333335,2332.0,-214.66666666666652,214.66666666666652
10,Croatia,722.0,739.0,-17.0,17.0
11,Cuba,1453.0,1511.0,-58.0,58.0
12,Cyprus,44.0,40.0,4.0,4.0
13,Czech Republic,1489.0,1387.0,102.0,102.0
14,Denmark,661.0,564.0,97.0,97.0
15,Ecuador,676.0,1073.0,-397.0,397.0
16,Estonia,269.0,195.0,74.0,74.0
17,Finland,789.0,731.0,58.0,58.0
18,Georgia,194.0,192.0,2.0,2.0
19,Germany,10030.0,10088.0,-58.0,58.0
20,Greece,565.0,529.0,36.0,36.0
21,Grenada,0.0,0.0,0.0,0.0
22,Guatemala,512.0,494.0,18.0,18.0
23,Hungary,1925.0,1868.0,57.0,57.0
24,Iceland,44.0,40.0,4.0,4.0
25,Israel,306.0,342.0,-36.0,36.0
26,Italy,3989.0,3988.0,1.0,1.0
27,Japan,24357.0,23092.0,1265.0,1265.0
28,Kazakhstan,3119.0,2872.0,247.0,247.0
29,Kyrgyzstan,461.0,417.0,44.0,44.0
30,Latvia,382.0,387.0,-5.0,5.0
31,Lithuania,1025.0,896.0,129.0,129.0
32,Luxembourg,67.0,64.0,3.0,3.0
33,Malta,32.0,34.0,-2.0,2.0
34,Mauritius,131.0,104.0,27.0,27.0
35,Mexico,4056.0,6234.0,-2178.0,2178.0
36,Netherlands,1839.0,1873.0,-34.0,34.0
37,Nicaragua,311.0,315.0,-4.0,4.0
38,Norway,548.0,590.0,-42.0,42.0
39,Panama,147.0,110.0,37.0,37.0
40,Poland,6368.0,5420.0,948.0,948.0
41,Puerto Rico,284.0,226.0,58.0,58.0
42,Qatar,55.0,66.0,-11.0,11.0
43,Republic of Korea,13834.0,13510.0,324.0,324.0
44,Romania,2209.0,2228.0,-19.0,19.0
45,Russian Federation,26541.0,25432.0,1109.0,1109.0
46,Saint Vincent and Grenadines,2.0,3.0,-1.0,1.0
47,Serbia,1373.0,1062.0,311.0,311.0
48,Seychelles,6.0,7.0,-1.0,1.0
49,Singapore,355.0,329.0,26.0,26.0
50,Slovenia,529.0,422.0,107.0,107.0
51,South Africa,580.0,482.0,98.0,98.0
52,Spain,3873.0,3604.0,269.0,269.0
53,Sweden,1154.0,1182.0,-28.0,28.0
54,Switzerland,1006.0,1073.0,-67.0,67.0
55,Thailand,3761.0,4205.0,-444.0,444.0
56,Turkey,1524.0,1532.0,-8.0,8.0
57,Turkmenistan,138.0,133.0,5.0,5.0
58,Ukraine,8973.0,7574.0,1399.0,1399.0
59,United Kingdom,4788.0,4910.0,-122.0,122.0
60,Uruguay,591.0,630.0,-39.0,39.0
